1,0.0129
2,0.0076
3,0.0057
4,0.0069
5,0.0052
6,0.0048
7,0.0045
8,0.0058
9,0.0038
10,0.0044
11,0.0036
12,0.0052
13,0.0048
14,0.0052
15,0.0052
16,0.0047
17,0.0036
18,0.0046
19,0.0038
20,0.0046
21,0.0043
22,0.0055
23,0.005
24,0.0047
25,0.0048
26,0.0038
27,0.0047
28,0.0041
29,0.0036
30,0.0032
31,0.0042
32,0.0027
33,0.0035
34,0.004
35,0.004
36,0.0052
37,0.0049
38,0.0041
39,0.006
40,0.0039
41,0.0048
42,0.0032
43,0.0037
44,0.0047
45,0.0043
46,0.0041
47,0.0042
48,0.004
49,0.0054
50,0.0047
51,0.0023
52,0.0041
53,0.003
54,0.0033
55,0.0027
56,0.0042
57,0.0035
58,0.0035
59,0.0035
60,0.0049
61,0.0041
62,0.0042
63,0.0024
64,0.0037
65,0.0039
66,0.005
67,0.004
68,0.0035
69,0.0039
70,0.0041
